Sexo;Ciclo;Habilidades TIC;Total
Ambos sexos;Técnico superior en audiología protésica;Usuario de nivel avanzado;69,2
Ambos sexos;Técnico superior en audiología protésica;Usuario de nivel básico;16,9
Ambos sexos;Técnico superior en audiología protésica;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;Total;100,0
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;Usuario experto;8,2
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;Usuario de nivel avanzado;63,9
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;Usuario de nivel básico;27,9
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;No usuario de las TIC;0,0
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Total;100,0
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Usuario experto;10,0
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Usuario de nivel avanzado;71,3
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Usuario de nivel básico;18,7
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;No usuario de las TIC;0,0
Ambos sexos;Otros ciclos de Sanidad;Total;100,0
Ambos sexos;Otros ciclos de Sanidad;Usuario experto;5,8
Ambos sexos;Otros ciclos de Sanidad;Usuario de nivel avanzado;63,3
Ambos sexos;Otros ciclos de Sanidad;Usuario de nivel básico;30,9
Ambos sexos;Otros ciclos de Sanidad;No usuario de las TIC;0,0
Ambos sexos;07 - SEGURIDAD Y MEDIO AMBIENTE;Total;100,0
Ambos sexos;07 - SEGURIDAD Y MEDIO AMBIENTE;Usuario experto;8,9
Ambos sexos;07 - SEGURIDAD Y MEDIO AMBIENTE;Usuario de nivel avanzado;76,9
Ambos sexos;07 - SEGURIDAD Y MEDIO AMBIENTE;Usuario de nivel básico;13,3
Ambos sexos;07 - SEGURIDAD Y MEDIO AMBIENTE;No usuario de las TIC;0,8
Ambos sexos;08 - FABRICACIÓN MECÁNICA;Total;100,0
Ambos sexos;08 - FABRICACIÓN MECÁNICA;Usuario experto;19,6
Ambos sexos;08 - FABRICACIÓN MECÁNICA;Usuario de nivel avanzado;59,5
Ambos sexos;08 - FABRICACIÓN MECÁNICA;Usuario de nivel básico;18,9
Ambos sexos;08 - FABRICACIÓN MECÁNICA;No usuario de las TIC;1,9
Ambos sexos;Técnico superior en programación de la producción en fabricación mecánica;Total;100,0
Ambos sexos;Técnico superior en programación de la producción en fabricación mecánica;Usuario experto;17,3
Ambos sexos;Técnico superior en programación de la producción en fabricación mecánica;Usuario de nivel avanzado;55,6
Ambos sexos;Técnico superior en programación de la producción en fabricación mecánica;Usuario de nivel básico;23,4
Ambos sexos;Técnico superior en programación de la producción en fabricación mecánica;No usuario de las TIC;3,6
Ambos sexos;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;Total;100,0
Ambos sexos;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;Usuario experto;21,4
Ambos sexos;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;Usuario de nivel avanzado;62,8
Ambos sexos;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;Usuario de nivel básico;15,2
Ambos sexos;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;No usuario de las TIC;0,5
Ambos sexos;09 - INSTALACIÓN Y MANTENIMIENTO;Total;100,0
Ambos sexos;09 - INSTALACIÓN Y MANTENIMIENTO;Usuario experto;13,4
Ambos sexos;09 - INSTALACIÓN Y MANTENIMIENTO;Usuario de nivel avanzado;62,1
Ambos sexos;09 - INSTALACIÓN Y MANTENIMIENTO;Usuario de nivel básico;24,4
Ambos sexos;09 - INSTALACIÓN Y MANTENIMIENTO;No usuario de las TIC;0,1
Ambos sexos;Técnico superior en mecatrónica industrial;Total;100,0
Ambos sexos;Técnico superior en mecatrónica industrial;Usuario experto;15,7
Ambos sexos;Técnico superior en mecatrónica industrial;Usuario de nivel avanzado;55,9
Ambos sexos;Técnico superior en mecatrónica industrial;Usuario de nivel básico;28,2
Ambos sexos;Técnico superior en mecatrónica industrial;No usuario de las TIC;0,2
Ambos sexos;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;Total;100,0
Ambos sexos;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;Usuario experto;6,5
Ambos sexos;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;Usuario de nivel avanzado;80,7
Ambos sexos;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;Usuario de nivel básico;12,8
Ambos sexos;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;No usuario de las TIC;0,0
Ambos sexos;10 - ELECTRICIDAD Y ELECTRÓNICA;Total;100,0
Ambos sexos;10 - ELECTRICIDAD Y ELECTRÓNICA;Usuario experto;45,5
Ambos sexos;10 - ELECTRICIDAD Y ELECTRÓNICA;Usuario de nivel avanzado;45,0
Ambos sexos;10 - ELECTRICIDAD Y ELECTRÓNICA;Usuario de nivel básico;9,3
Ambos sexos;10 - ELECTRICIDAD Y ELECTRÓNICA;No usuario de las TIC;0,1
Ambos sexos;Técnico superior en sistemas electrotécnicos y automatizados;Total;100,0
Ambos sexos;Técnico superior en sistemas electrotécnicos y automatizados;Usuario experto;32,3
Ambos sexos;Técnico superior en sistemas electrotécnicos y automatizados;Usuario de nivel avanzado;56,2
Ambos sexos;Técnico superior en sistemas electrotécnicos y automatizados;Usuario de nivel básico;11,4
Ambos sexos;Técnico superior en sistemas electrotécnicos y automatizados;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en sistemas de telecomunicaciones e informáticos;Total;100,0
Ambos sexos;Técnico superior en sistemas de telecomunicaciones e informáticos;Usuario experto;63,2
Ambos sexos;Técnico superior en sistemas de telecomunicaciones e informáticos;Usuario de nivel avanzado;30,8
Ambos sexos;Técnico superior en sistemas de telecomunicaciones e informáticos;Usuario de nivel básico;6,0
Ambos sexos;Técnico superior en sistemas de telecomunicaciones e informáticos;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en mantenimiento electrónico;Total;100,0
Ambos sexos;Técnico superior en mantenimiento electrónico;Usuario experto;48,6
Ambos sexos;Técnico superior en mantenimiento electrónico;Usuario de nivel avanzado;38,9
Ambos sexos;Técnico superior en mantenimiento electrónico;Usuario de nivel básico;12,5
Ambos sexos;Técnico superior en mantenimiento electrónico;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en automatización y robótica industrial;Total;100,0
Ambos sexos;Técnico superior en automatización y robótica industrial;Usuario experto;37,6
Ambos sexos;Técnico superior en automatización y robótica industrial;Usuario de nivel avanzado;53,2
Ambos sexos;Técnico superior en automatización y robótica industrial;Usuario de nivel básico;8,5
